id,text,created_at,lang,source,retweet_count,reply_count,like_count,quote_count,conversation_id,hashtags,urls,mentions,media,geo,place_id,referenced_tweets,sentiment_score,subjectivity,emotion
fc64259e-223e-4e01-a07a-76be2fdff1f8,Be attorney certain ok knowledge consumer yet.,2024-11-13 03:29:35,en,Twitter Web App,253,150,416,62,61916324-74e9-4595-b990-33089ca6dfcb,"['charge', 'exist', 'tend', 'certainly', 'pass']",[],['rebecca93'],[],"('40.58654', '-122.39168')",,['c9646953-cbf2-4015-8709-1b0803a5d743'],-0.93,0.43,joy
500285cb-079b-472b-877c-4d4fac563233,Sound too option resource tend education.,2024-02-08 14:27:20,en,Twitter for Android,305,36,123,42,edafcae4-0516-48f3-9f9a-4a8b9208c28e,"['speak', 'stock']","['https://rodriguez.com/', 'https://boyer-dominguez.com/']","['ncole', 'ygarner']","['https://dummyimage.com/538x939', 'https://dummyimage.com/488x90']","('40.81', '-73.9625')",,"['3e61bda6-bd61-4a68-8888-20e7f5cbfc15', '91020ea0-684c-4a63-a147-33bc33c5df91']",0.02,0.28,anger
e80bcee0-6d74-4893-90dd-6a7eeb2d506f,Step take mean national.,2024-02-02 23:41:24,fr,Twitter Web App,451,192,548,80,5492817c-a95d-4b04-bf51-cff7823af727,"['response', 'happen', 'remember', 'very']",[],"['kgonzalez', 'ireynolds', 'kandrews']",['https://placekitten.com/1003/260'],,,"['f121f1a1-c04f-4cf7-aeed-856350a3eda9', 'aeebd0e2-b8e4-4063-8ab8-c0a354ac36bf']",0.3,0.39,disgust
905a54bc-94dc-4698-bb51-a922f1629c28,Democrat save need test.,2024-04-26 15:12:06,es,Twitter for Android,431,182,366,22,10dcd26f-6ab5-4e4b-af96-360ca5f7b406,"['design', 'every']","['http://miller.com/', 'http://www.garcia.com/']",['austindecker'],['https://www.lorempixel.com/346/36'],,,"['c52db799-a03e-4fe6-adc0-ca6a83b31b70', 'fa3bf037-52bd-4a7b-90cb-eccebed3e7e6']",-0.14,0.82,anger
dcbb39e7-b2d8-4a05-8cf4-a0efa7da3ab4,Get six common statement drop present nice.,2024-01-13 13:09:25,es,Twitter for Android,334,101,987,40,bc953416-e016-497b-af4c-a274a77a986d,"['after', 'so']","['https://diaz-williams.com/', 'https://www.chen-rodriguez.com/', 'https://roberts-clark.com/']",['breannajohnson'],"['https://www.lorempixel.com/209/702', 'https://www.lorempixel.com/395/1003']",,,['416dddd2-852c-43e6-8158-5854fd3e0517'],-0.39,0.03,joy
d2f9e53a-a457-432f-85a1-9bb490c25c2e,However social challenge amount source watch senior.,2024-01-19 08:43:00,es,Twitter for Android,344,19,788,81,2084870c-c06e-40e6-b426-66bc0e30a8aa,['church'],"['http://www.perez.net/', 'http://www.parker.biz/', 'http://www.parrish.info/']",[],[],,,['4d0d45a8-1e6f-407d-bf15-74d31069226d'],0.7,0.96,fear
6df9e460-5e0f-4f04-8505-ac775e9e716e,Seat church our ok here air save.,2024-10-29 01:30:20,en,Twitter Web App,240,76,212,7,ba486350-a932-450e-8486-0aecdc041382,"['large', 'exist', 'customer', 'believe', 'eat']",[],"['hcosta', 'harveycorey', 'katherinethompson']","['https://placekitten.com/694/466', 'https://placekitten.com/743/581']",,,"['972c83fc-30af-4c4d-ab34-a433883dfc49', '709a7d24-4025-4db2-91ac-8a6193c8ea98']",0.94,0.42,joy
f8756eca-8955-4012-8ccc-4b95a428b5f1,Mean structure Mrs area beautiful late reality.,2024-12-16 14:52:12,en,Twitter Web App,146,41,462,0,9bed965d-8302-488a-84ef-2c2ae2b310d3,"['claim', 'nor', 'stay']","['https://www.gonzalez.com/', 'http://www.daniels.biz/']",[],[],,2529a404-da31-4e69-bba1-82b994d0f086,['3ea0cbae-dabd-461d-8e18-db4269c8ae5a'],-0.96,0.16,fear
a2d5b765-9baa-478d-8838-0d4b01d30501,Kind country former deep worry foot although.,2024-12-12 01:58:55,de,Twitter for iPhone,274,144,315,57,a87f4369-b714-4aa2-8557-2a4fc5f17a5e,"['suddenly', 'current']",['https://www.miranda-douglas.com/'],[],[],"('47.64995', '-117.23991')",,['04665e42-a441-42ff-8cde-a950c78fae08'],-0.89,0.68,sadness
afd33e11-f8f0-4c74-a267-42e48f0a586e,Series put mind respond measure dinner.,2024-04-15 14:12:13,en,Twitter Web App,4,61,474,35,561e7d1f-3144-406a-8da8-f0c46c039b3e,"['idea', 'child']",['http://martin.com/'],"['hansonjeffrey', 'stephanie48', 'ashley62']","['https://dummyimage.com/454x36', 'https://www.lorempixel.com/602/19']",,,"['0d4bd365-7865-40f2-9846-1abc1fd4529d', 'e357d80a-aa3a-4577-bdef-3f521a01cd0e']",0.55,0.83,joy
ddb4f9c3-d132-41bc-bd1c-55374d74f04d,Operation myself surface travel page can article.,2024-02-21 15:33:29,en,Twitter Web App,433,145,271,26,a8655cd2-4554-4681-bd4f-8587eeb12dd9,"['eat', 'until']",['https://www.cervantes.com/'],[],[],,,['943c05c3-e566-4bb8-9041-ddd0153ba29d'],0.62,0.46,sadness
aad6f82a-f263-46cd-ba9a-9f16d15fb5c3,Blue true rise bit green president miss believe.,2024-12-17 08:02:49,en,Twitter for Android,55,99,872,97,a2ac7c54-2af9-49c7-9b09-92af1cc8d1f2,"['discuss', 'build']","['https://www.black.org/', 'http://cantrell.com/']","['stewartrichard', 'youngkatrina', 'zolson']","['https://www.lorempixel.com/194/785', 'https://placeimg.com/141/780/any']",,4853fc53-df3f-45fc-aa5d-1f3a80bb002b,[],0.07,0.08,fear
5a110b71-0d98-4b71-ad50-469adc7025a5,Only nearly industry data month week prevent under.,2024-03-16 23:04:46,es,Twitter Web App,220,173,122,99,55c56161-a64d-435f-90f5-a13366ab4e37,"['able', 'save', 'suggest']","['http://www.gutierrez.com/', 'https://taylor-stone.com/', 'http://mitchell.org/']","['amyreyes', 'gillbarbara', 'joseph10']",['https://www.lorempixel.com/616/340'],,,['22556b95-0a8b-4865-b9e2-ddae044a73ac'],0.72,0.69,fear
859e473c-54c1-4d38-a112-49f8df2ccffa,Another behavior I.,2024-07-18 00:15:03,es,Twitter Web App,68,138,92,21,b72d7f0b-4199-4fe6-ad91-7251def58c18,"['fight', 'well', 'whom', 'reason', 'call']",['https://www.curry-morales.biz/'],"['smithkatherine', 'codychavez', 'rmora']",['https://www.lorempixel.com/743/487'],,,[],0.36,0.1,fear
381446f7-76fd-48d8-af97-2ee2b13489e9,Catch financial peace run need.,2024-04-17 17:56:06,en,Twitter for Android,451,84,161,73,ef43154e-e45f-4230-83cd-51ec8f230a58,['move'],[],[],[],"('40.63316', '-74.13653')",ac306760-347f-4ac9-9a0d-5c526d605d7a,[],0.48,0.86,fear
27b31d39-685b-4e01-ab0f-770b4cc71c03,Dog focus go wind act send.,2024-02-13 16:53:19,es,Twitter Web App,135,98,826,97,35e7f21a-3632-48ce-83db-16229633fd54,"['box', 'can']","['http://www.bell-johnson.com/', 'http://www.roman.com/', 'https://www.guerrero.com/']","['obell', 'christianfrank', 'yherrera']",['https://placeimg.com/761/973/any'],,,"['86aa3fe9-0b56-404b-abf9-266022497093', 'a5d8f018-9fa0-4f04-b573-76f9b7f6a77b']",0.1,0.8,anger
43991b59-e14f-4816-864d-b7b629d153d4,Detail hope record happy fear.,2024-03-16 02:38:38,de,Twitter for Android,372,193,702,20,f7a6d738-00c5-49b5-b9b3-63c2e610e665,"['present', 'and', 'these', 'only']",[],"['eric14', 'brettluna', 'michael16']","['https://placeimg.com/296/355/any', 'https://placekitten.com/543/764']",,bebebfd0-f04d-42e4-a288-c41e96453969,"['e1aa8c2c-0dc8-4c93-87b1-fc2ae022b0a1', '75214039-d8c6-4eee-b87f-03daf066d1ec']",-0.9,0.01,fear
0fcf0579-7458-45f8-b144-261057033a2d,Remember always subject.,2024-04-20 21:01:53,es,Twitter Web App,187,189,311,62,6da0fe30-9f43-4d8f-afc4-7cedfa1094f6,"['care', 'level', 'night']","['http://www.holloway.biz/', 'http://koch.com/']",['diana42'],"['https://www.lorempixel.com/873/713', 'https://dummyimage.com/44x539']","('39.45621', '-77.96389')",,['4861ead0-5321-4f6f-84e0-1094ffd78021'],0.53,0.32,sadness
faef74be-785c-4c7b-9803-0c28e1872d9f,First data late kid experience century perform.,2024-11-23 05:44:31,de,Twitter Web App,391,35,846,100,1f4b63be-133b-4a61-a3bd-a9aa8242de2f,['manage'],['https://brooks-hardin.com/'],[],"['https://placeimg.com/288/366/any', 'https://placeimg.com/324/365/any']",,13792d45-a711-4493-bd74-6791737ab6bf,['f8859d11-29b0-4ff6-83a8-aefc72a8bece'],0.39,0.57,joy
f8b13f5f-2d40-42d8-8a20-88394beca573,We notice long peace sing different ask.,2024-08-28 08:06:22,fr,Twitter for iPhone,206,176,721,97,44f3906c-2ac1-40f6-8c7c-b7e228e53740,"['model', 'local', 'quickly', 'mind']",[],[],['https://placeimg.com/177/524/any'],,,[],-0.14,0.38,fear
3d5c46bb-7c7d-46fe-8b88-f67263e07ba3,About sit question cell land street safe.,2024-08-16 23:38:30,en,Twitter Web App,187,185,713,99,f8a0bc58-0cbf-47fc-8e44-528f3ae514b2,"['nature', 'per', 'worker', 'offer']","['https://hill.com/', 'http://nguyen-smith.com/']","['mzuniga', 'madison37', 'flopez']",['https://placekitten.com/1016/195'],,,"['d3e14c87-cf9c-401f-bc5b-fd94ab7360ec', 'a6841731-af4b-4523-8967-52677a780838']",-0.15,0.45,sadness
f12d5df4-53fa-4609-a0cf-ed3a5aee477f,Work employee enjoy clearly still say expect choose.,2024-05-13 07:40:33,es,Twitter for Android,23,20,617,11,65312584-9708-4c45-a071-cef8a90d345a,"['physical', 'hope', 'form', 'body']",['https://www.stewart-murphy.com/'],['irodriguez'],['https://dummyimage.com/169x28'],"('42.35843', '-71.05977')",4a983a0d-3104-448b-abf2-892be3aea663,"['0526053a-9e9b-43a6-bdf3-64438d914df7', 'f85a4805-8ca4-49de-8160-2ebaf36dfdd5']",-0.72,0.49,fear
9bc0e8f2-4add-44fe-94ae-45f8d4b91cec,Human itself theory indeed fill dream full.,2024-10-25 22:47:57,de,Twitter Web App,205,128,41,16,46387943-8b4b-4d58-b4f5-31a7df8f039d,"['hot', 'either']","['http://valdez-lindsey.net/', 'https://hernandez.com/']",['stewartabigail'],"['https://placekitten.com/253/747', 'https://www.lorempixel.com/518/925']","('33.45122', '-86.99666')",cffece71-4567-4910-ad42-4fb99d095c86,['abcfd1e9-48a5-46b5-91bb-560b4395f4e8'],-0.12,0.96,anger
